"TimeGenerated [UTC]",name,"delta_pkts","delta_bytes","delta_multicasts","delta_unicasts"
"5/13/2025, 5:02:12.714 PM","Ethernet 1/1/47:1",,,,
"5/13/2025, 5:03:26.464 PM","Ethernet 1/1/47:1",159,8,10,149
"5/13/2025, 5:04:40.214 PM","Ethernet 1/1/47:1",209,14,7,202
"5/13/2025, 5:05:53.716 PM","Ethernet 1/1/47:1",196,4,10,186
"5/13/2025, 5:07:07.464 PM","Ethernet 1/1/47:1",172,2,6,166
"5/13/2025, 5:08:21.710 PM","Ethernet 1/1/47:1",240,5,7,233
"5/13/2025, 5:09:35.215 PM","Ethernet 1/1/47:1",262,26,11,251
"5/13/2025, 5:10:48.964 PM","Ethernet 1/1/47:1",186,13,7,179
"5/13/2025, 5:12:02.714 PM","Ethernet 1/1/47:1",83,9,8,75
"5/13/2025, 5:13:16.464 PM","Ethernet 1/1/47:1",77,7,6,71
"5/13/2025, 5:14:30.503 PM","Ethernet 1/1/47:1",148,12,9,139
"5/13/2025, 5:15:44.216 PM","Ethernet 1/1/47:1",139,4,8,131
"5/13/2025, 5:16:57.963 PM","Ethernet 1/1/47:1",619,31,8,611
"5/13/2025, 5:18:11.964 PM","Ethernet 1/1/47:1",191,12,7,184
"5/13/2025, 5:19:25.715 PM","Ethernet 1/1/47:1",147,12,10,137
"5/13/2025, 5:20:39.712 PM","Ethernet 1/1/47:1",157,10,7,150
"5/13/2025, 5:21:53.464 PM","Ethernet 1/1/47:1",108,5,7,101
"5/13/2025, 5:23:07.214 PM","Ethernet 1/1/47:1",127,11,9,118
"5/13/2025, 5:24:20.965 PM","Ethernet 1/1/47:1",225,13,6,219
"5/13/2025, 5:25:34.718 PM","Ethernet 1/1/47:1",198,11,10,188
"5/13/2025, 5:26:48.716 PM","Ethernet 1/1/47:1",213,0,6,207
"5/13/2025, 5:28:02.466 PM","Ethernet 1/1/47:1",159,5,10,149
"5/13/2025, 5:29:16.464 PM","Ethernet 1/1/47:1",208,9,7,201
"5/13/2025, 5:30:29.964 PM","Ethernet 1/1/47:1",181,8,11,170
"5/13/2025, 5:31:43.966 PM","Ethernet 1/1/47:1",178,12,7,171
"5/13/2025, 5:32:57.959 PM","Ethernet 1/1/47:1",155,6,7,148
"5/13/2025, 5:34:11.964 PM","Ethernet 1/1/47:1",224,10,10,214
"5/13/2025, 5:35:25.713 PM","Ethernet 1/1/47:1",133,1,7,126
"5/13/2025, 5:36:39.714 PM","Ethernet 1/1/47:1",178,15,11,167
"5/13/2025, 5:37:53.464 PM","Ethernet 1/1/47:1",89,5,7,82
"5/13/2025, 5:39:07.464 PM","Ethernet 1/1/47:1",177,12,9,168
"5/13/2025, 5:40:21.218 PM","Ethernet 1/1/47:1",173,16,7,166
"5/13/2025, 5:41:34.965 PM","Ethernet 1/1/47:1",200,40,11,189
"5/13/2025, 5:42:48.713 PM","Ethernet 1/1/47:1",262,12,7,255
"5/13/2025, 5:44:02.714 PM","Ethernet 1/1/47:1",303,7,9,294
"5/13/2025, 5:45:16.598 PM","Ethernet 1/1/47:1",163,6,7,156
"5/13/2025, 5:46:30.714 PM","Ethernet 1/1/47:1",127,1,10,117
"5/13/2025, 5:47:44.464 PM","Ethernet 1/1/47:1",191,15,8,183
"5/13/2025, 5:48:58.464 PM","Ethernet 1/1/47:1",85,12,10,75
"5/13/2025, 5:50:12.214 PM","Ethernet 1/1/47:1",104,6,7,97
"5/13/2025, 5:51:26.213 PM","Ethernet 1/1/47:1",186,15,9,177
"5/13/2025, 5:52:40.214 PM","Ethernet 1/1/47:1",200,2,7,193
"5/13/2025, 5:53:53.965 PM","Ethernet 1/1/47:1",210,10,6,204
"5/13/2025, 5:55:07.716 PM","Ethernet 1/1/47:1",238,12,9,229
"5/13/2025, 5:56:21.714 PM","Ethernet 1/1/47:1",160,20,6,154
"5/13/2025, 5:57:35.715 PM","Ethernet 1/1/47:1",152,8,11,141
"5/13/2025, 5:58:49.465 PM","Ethernet 1/1/47:1",277,15,7,270
"5/13/2025, 6:00:03.465 PM","Ethernet 1/1/47:1",141,22,10,131
"5/13/2025, 6:01:17.213 PM","Ethernet 1/1/47:1",179,12,7,172
"5/13/2025, 6:02:30.967 PM","Ethernet 1/1/47:1",211,0,11,200
"5/13/2025, 6:03:44.964 PM","Ethernet 1/1/47:1",183,9,7,176
"5/13/2025, 6:04:58.715 PM","Ethernet 1/1/47:1",155,8,10,145
"5/13/2025, 6:06:12.714 PM","Ethernet 1/1/47:1",281,8,6,275
"5/13/2025, 6:07:26.465 PM","Ethernet 1/1/47:1",145,2,10,135
"5/13/2025, 6:08:40.467 PM","Ethernet 1/1/47:1",157,7,8,149
"5/13/2025, 6:09:54.215 PM","Ethernet 1/1/47:1",149,10,7,142
"5/13/2025, 6:11:08.215 PM","Ethernet 1/1/47:1",216,38,10,206
"5/13/2025, 6:12:21.965 PM","Ethernet 1/1/47:1",217,6,6,211
"5/13/2025, 6:13:35.967 PM","Ethernet 1/1/47:1",117,7,10,107
"5/13/2025, 6:14:49.716 PM","Ethernet 1/1/47:1",267,4,7,260
"5/13/2025, 6:16:03.466 PM","Ethernet 1/1/47:1",89,6,10,79
"5/13/2025, 6:17:17.255 PM","Ethernet 1/1/47:1",152,6,6,146
"5/13/2025, 6:18:31.214 PM","Ethernet 1/1/47:1",187,18,11,176
"5/13/2025, 6:19:45.214 PM","Ethernet 1/1/47:1",232,8,7,225
"5/13/2025, 6:20:59.217 PM","Ethernet 1/1/47:1",118,14,10,108
"5/13/2025, 6:22:13.214 PM","Ethernet 1/1/47:1",148,7,7,141
"5/13/2025, 6:23:27.215 PM","Ethernet 1/1/47:1",176,17,6,170
"5/13/2025, 6:24:40.963 PM","Ethernet 1/1/47:1",133,5,10,123
"5/13/2025, 6:25:54.719 PM","Ethernet 1/1/47:1",109,13,6,103
"5/13/2025, 6:27:08.719 PM","Ethernet 1/1/47:1",121,11,9,112
"5/13/2025, 6:28:22.467 PM","Ethernet 1/1/47:1",145,10,7,138
"5/13/2025, 6:29:36.213 PM","Ethernet 1/1/47:1",162,6,11,151
"5/13/2025, 6:30:49.963 PM","Ethernet 1/1/47:1",149,11,7,142
"5/13/2025, 6:32:04.216 PM","Ethernet 1/1/47:1",135,16,10,125
"5/13/2025, 6:33:17.965 PM","Ethernet 1/1/47:1",191,5,7,184
"5/13/2025, 6:34:31.714 PM","Ethernet 1/1/47:1",149,12,9,140
"5/13/2025, 6:35:45.714 PM","Ethernet 1/1/47:1",154,0,8,146
"5/13/2025, 6:36:59.713 PM","Ethernet 1/1/47:1",119,0,10,109
"5/13/2025, 6:38:13.464 PM","Ethernet 1/1/47:1",117,4,7,110
"5/13/2025, 6:39:27.465 PM","Ethernet 1/1/47:1",149,5,10,139
"5/13/2025, 6:40:41.214 PM","Ethernet 1/1/47:1",146,29,7,139
"5/13/2025, 6:41:55.215 PM","Ethernet 1/1/47:1",204,63,7,197
"5/13/2025, 6:43:08.713 PM","Ethernet 1/1/47:1",92,7,9,83
"5/13/2025, 6:44:22.713 PM","Ethernet 1/1/47:1",170,16,6,164
"5/13/2025, 6:45:36.214 PM","Ethernet 1/1/47:1",209,7,10,199
"5/13/2025, 6:46:50.213 PM","Ethernet 1/1/47:1",246,14,7,239
"5/13/2025, 6:48:04.214 PM","Ethernet 1/1/47:1",233,7,9,224
"5/13/2025, 6:49:17.964 PM","Ethernet 1/1/47:1",159,3,6,153
"5/13/2025, 6:50:31.715 PM","Ethernet 1/1/47:1",146,7,11,135
"5/13/2025, 6:51:45.416 PM","Ethernet 1/1/47:1",113,7,7,106
"5/13/2025, 6:52:59.215 PM","Ethernet 1/1/47:1",220,10,9,211
"5/13/2025, 6:54:13.215 PM","Ethernet 1/1/47:1",200,9,7,193
"5/13/2025, 6:55:26.964 PM","Ethernet 1/1/47:1",179,10,10,169
"5/13/2025, 6:56:40.714 PM","Ethernet 1/1/47:1",244,10,8,236
"5/13/2025, 6:57:54.466 PM","Ethernet 1/1/47:1",101,10,6,95
"5/13/2025, 6:59:08.215 PM","Ethernet 1/1/47:1",197,21,10,187
"5/13/2025, 7:00:21.964 PM","Ethernet 1/1/47:1",188,9,7,181
"5/13/2025, 7:00:43.964 PM","Ethernet 1/1/47:1",57,5,4,53
"5/13/2025, 7:01:57.464 PM","Ethernet 1/1/47:1",348,7,7,341
"5/13/2025, 7:03:11.214 PM","Ethernet 1/1/47:1",318,6,9,309
"5/13/2025, 7:04:24.964 PM","Ethernet 1/1/47:1",309,8,7,302
"5/13/2025, 7:06:35.213 PM","Ethernet 1/1/47:1",381,10,17,364
"5/13/2025, 7:07:48.966 PM","Ethernet 1/1/47:1",367,3,7,360
"5/13/2025, 7:09:02.714 PM","Ethernet 1/1/47:1",156,8,10,146
"5/13/2025, 7:10:16.465 PM","Ethernet 1/1/47:1",270,35,7,263
"5/13/2025, 7:11:30.214 PM","Ethernet 1/1/47:1",227,10,11,216
"5/13/2025, 7:12:43.964 PM","Ethernet 1/1/47:1",213,8,6,207
"5/13/2025, 7:13:57.964 PM","Ethernet 1/1/47:1",152,8,9,143
"5/13/2025, 7:15:11.714 PM","Ethernet 1/1/47:1",149,10,6,143
"5/13/2025, 7:16:25.716 PM","Ethernet 1/1/47:1",84,2,7,77
"5/13/2025, 7:17:39.216 PM","Ethernet 1/1/47:1",129,2,10,119
"5/13/2025, 7:18:53.007 PM","Ethernet 1/1/47:1",219,5,6,213
"5/13/2025, 7:20:06.714 PM","Ethernet 1/1/47:1",173,14,10,163
"5/13/2025, 7:21:20.463 PM","Ethernet 1/1/47:1",220,16,7,213
"5/13/2025, 7:22:34.216 PM","Ethernet 1/1/47:1",219,3,11,208
"5/13/2025, 7:23:47.963 PM","Ethernet 1/1/47:1",144,5,6,138
"5/13/2025, 7:25:01.719 PM","Ethernet 1/1/47:1",137,9,10,127
"5/13/2025, 7:26:15.473 PM","Ethernet 1/1/47:1",256,13,7,249
"5/13/2025, 7:27:29.214 PM","Ethernet 1/1/47:1",163,3,7,156
"5/13/2025, 7:28:42.964 PM","Ethernet 1/1/47:1",267,19,11,256
"5/13/2025, 7:29:56.714 PM","Ethernet 1/1/47:1",200,60,7,193
"5/13/2025, 7:31:10.464 PM","Ethernet 1/1/47:1",142,6,10,132
"5/13/2025, 7:32:24.217 PM","Ethernet 1/1/47:1",293,9,6,287
"5/13/2025, 7:33:37.963 PM","Ethernet 1/1/47:1",154,5,10,144
"5/13/2025, 7:34:51.714 PM","Ethernet 1/1/47:1",163,13,7,156
"5/13/2025, 7:36:05.462 PM","Ethernet 1/1/47:1",197,5,10,187
"5/13/2025, 7:37:19.214 PM","Ethernet 1/1/47:1",109,3,6,103
"5/13/2025, 7:38:32.963 PM","Ethernet 1/1/47:1",115,12,10,105
"5/13/2025, 7:39:46.464 PM","Ethernet 1/1/47:1",157,21,6,151
"5/13/2025, 7:41:00.214 PM","Ethernet 1/1/47:1",233,14,9,224
"5/13/2025, 7:42:14.216 PM","Ethernet 1/1/47:1",237,6,7,230
"5/13/2025, 7:43:27.964 PM","Ethernet 1/1/47:1",164,8,9,155
"5/13/2025, 7:44:41.606 PM","Ethernet 1/1/47:1",182,20,8,174
"5/13/2025, 7:45:55.464 PM","Ethernet 1/1/47:1",216,7,7,209
"5/13/2025, 7:47:09.214 PM","Ethernet 1/1/47:1",180,2,9,171
"5/13/2025, 7:48:23.209 PM","Ethernet 1/1/47:1",127,2,6,121
"5/13/2025, 7:49:36.717 PM","Ethernet 1/1/47:1",152,9,11,141
"5/13/2025, 7:50:50.715 PM","Ethernet 1/1/47:1",221,9,6,215
"5/13/2025, 7:52:04.463 PM","Ethernet 1/1/47:1",155,7,10,145
"5/13/2025, 7:53:18.215 PM","Ethernet 1/1/47:1",198,2,7,191
"5/13/2025, 7:54:31.874 PM","Ethernet 1/1/47:1",203,7,11,192
"5/13/2025, 7:55:45.716 PM","Ethernet 1/1/47:1",136,0,7,129
"5/13/2025, 7:56:59.463 PM","Ethernet 1/1/47:1",253,8,9,244
"5/13/2025, 7:58:13.214 PM","Ethernet 1/1/47:1",193,5,7,186
"5/13/2025, 7:59:27.016 PM","Ethernet 1/1/47:1",115,11,6,109
"5/13/2025, 8:00:40.964 PM","Ethernet 1/1/47:1",152,8,10,142
"5/13/2025, 8:01:54.713 PM","Ethernet 1/1/47:1",109,7,7,102
